country_code,ECONOMY,Region
AFG,Afghanistan,South Asia
ALB,Albania,Europe & Central Asia
DZA,Algeria,Middle East & North Africa
ARG,Argentina,Latin America & Caribbean
ARM,Armenia,Europe & Central Asia
AUS,Australia,East Asia & Pacific
AUT,Austria,Europe & Central Asia
AZE,Azerbaijan,Europe & Central Asia
BHS,Bahamas,Latin America & Caribbean
BHR,Bahrain,Middle East & North Africa
BGD,Bangladesh,South Asia
BRB,Barbados,Latin America & Caribbean
BLR,Belarus,Europe & Central Asia
BEL,Belgium,Europe & Central Asia
BLZ,Belize,Latin America & Caribbean
BEN,Benin,Sub-Saharan Africa
BOL,Bolivia (Plurinational State of),Latin America & Caribbean
BIH,Bosnia and Herzegovina,Europe & Central Asia
BWA,Botswana,Sub-Saharan Africa
BRA,Brazil,Latin America & Caribbean
BRN,Brunei Darussalam,East Asia & Pacific
BGR,Bulgaria,Europe & Central Asia
BFA,Burkina Faso,Sub-Saharan Africa
BDI,Burundi,Sub-Saharan Africa
CPV,Cabo Verde,Sub-Saharan Africa
KHM,Cambodia,East Asia & Pacific
CMR,Cameroon,Sub-Saharan Africa
CAN,Canada,North America
CHL,Chile,Latin America & Caribbean
CHN,China,East Asia & Pacific
HKG,"China, Hong Kong SAR",East Asia & Pacific
COL,Colombia,Latin America & Caribbean
COM,Comoros,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa
COD,"Congo, Dem. Rep. of the",Sub-Saharan Africa
CRI,Costa Rica,Latin America & Caribbean
CIV,C̫te d'Ivoire,Sub-Saharan Africa
HRV,Croatia,Europe & Central Asia
CYP,Cyprus,Europe & Central Asia
CZE,Czechia,Europe & Central Asia
DNK,Denmark,Europe & Central Asia
DJI,Djibouti,Middle East & North Africa
DOM,Dominican Republic,Latin America & Caribbean
ECU,Ecuador,Latin America & Caribbean
EGY,Egypt,Middle East & North Africa
SLV,El Salvador,Latin America & Caribbean
EST,Estonia,Europe & Central Asia
SWZ,Eswatini,Sub-Saharan Africa
ETH,Ethiopia,Sub-Saharan Africa
FJI,Fiji,East Asia & Pacific
FIN,Finland,Europe & Central Asia
FRA,France,Europe & Central Asia
GAB,Gabon,Sub-Saharan Africa
GMB,Gambia,Sub-Saharan Africa
GEO,Georgia,Europe & Central Asia
DEU,Germany,Europe & Central Asia
GHA,Ghana,Sub-Saharan Africa
GRC,Greece,Europe & Central Asia
GTM,Guatemala,Latin America & Caribbean
GIN,Guinea,Sub-Saharan Africa
GUY,Guyana,Latin America & Caribbean
HTI,Haiti,Latin America & Caribbean
HND,Honduras,Latin America & Caribbean
HUN,Hungary,Europe & Central Asia
ISL,Iceland,Europe & Central Asia
IND,India,South Asia
IDN,Indonesia,East Asia & Pacific
IRN,Iran (Islamic Republic of),Middle East & North Africa
IRQ,Iraq,Middle East & North Africa
IRL,Ireland,Europe & Central Asia
ISR,Israel,Middle East & North Africa
ITA,Italy,Europe & Central Asia
JAM,Jamaica,Latin America & Caribbean
JPN,Japan,East Asia & Pacific
JOR,Jordan,Middle East & North Africa
KAZ,Kazakhstan,Europe & Central Asia
KEN,Kenya,Sub-Saharan Africa
KOR,"Korea, Republic of",East Asia & Pacific
KWT,Kuwait,Middle East & North Africa
KGZ,Kyrgyzstan,Europe & Central Asia
LAO,Lao People's Dem. Rep.,East Asia & Pacific
LVA,Latvia,Europe & Central Asia
LBN,Lebanon,Middle East & North Africa
LBY,Libya,Middle East & North Africa
LTU,Lithuania,Europe & Central Asia
LUX,Luxembourg,Europe & Central Asia
MDG,Madagascar,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,East Asia & Pacific
MDV,Maldives,South Asia
MLI,Mali,Sub-Saharan Africa
MLT,Malta,Middle East & North Africa
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa
MEX,Mexico,Latin America & Caribbean
MDA,"Moldova, Republic of",Europe & Central Asia
MNG,Mongolia,East Asia & Pacific
MNE,Montenegro,Europe & Central Asia
MAR,Morocco,Middle East & North Africa
MOZ,Mozambique,Sub-Saharan Africa
MMR,Myanmar,East Asia & Pacific
NAM,Namibia,Sub-Saharan Africa
NPL,Nepal,South Asia
NLD,Netherlands,Europe & Central Asia
NZL,New Zealand,East Asia & Pacific
NIC,Nicaragua,Latin America & Caribbean
NGA,Nigeria,Sub-Saharan Africa
MKD,North Macedonia,Europe & Central Asia
NOR,Norway,Europe & Central Asia
OMN,Oman,Middle East & North Africa
PAK,Pakistan,South Asia
PAN,Panama,Latin America & Caribbean
PNG,Papua New Guinea,East Asia & Pacific
PRY,Paraguay,Latin America & Caribbean
PER,Peru,Latin America & Caribbean
PHL,Philippines,East Asia & Pacific
POL,Poland,Europe & Central Asia
PRT,Portugal,Europe & Central Asia
QAT,Qatar,Middle East & North Africa
ROU,Romania,Europe & Central Asia
RUS,Russian Federation,Europe & Central Asia
RWA,Rwanda,Sub-Saharan Africa
LCA,Saint Lucia,Latin America & Caribbean
STP,Sao Tome and Principe,Sub-Saharan Africa
SAU,Saudi Arabia,Middle East & North Africa
SEN,Senegal,Sub-Saharan Africa
SRB,Serbia,Europe & Central Asia
SLE,Sierra Leone,Sub-Saharan Africa
SGP,Singapore,East Asia & Pacific
SVK,Slovakia,Europe & Central Asia
SVN,Slovenia,Europe & Central Asia
ZAF,South Africa,Sub-Saharan Africa
ESP,Spain,Europe & Central Asia
LKA,Sri Lanka,South Asia
SUR,Suriname,Latin America & Caribbean
SWE,Sweden,Europe & Central Asia
CHE,"Switzerland, Liechtenstein",Europe & Central Asia
TJK,Tajikistan,Europe & Central Asia
TZA,"Tanzania, United Republic of",Sub-Saharan Africa
THA,Thailand,East Asia & Pacific
TLS,Timor-Leste,East Asia & Pacific
TGO,Togo,Sub-Saharan Africa
TTO,Trinidad and Tobago,Latin America & Caribbean
TUN,Tunisia,Middle East & North Africa
TUR,Turkey,Europe & Central Asia
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,Europe & Central Asia
ARE,United Arab Emirates,Middle East & North Africa
GBR,United Kingdom,Europe & Central Asia
USA,United States of America,North America
URY,Uruguay,Latin America & Caribbean
VEN,Venezuela (Bolivarian Rep. of),Latin America & Caribbean
VNM,Viet Nam,East Asia & Pacific
YEM,Yemen,Middle East & North Africa
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
