country_code,ECONOMY,Overall_Productive_cap_index_2014,Overall_Productive_cap_index_2015,Overall_Productive_cap_index_2016,Overall_Productive_cap_index_2017,Overall_Productive_cap_index_2018,Human_capital_2014,Human_capital_2015,Human_capital_2016,Human_capital_2017,Human_capital_2018,Natural_capital_2014,Natural_capital_2015,Natural_capital_2016,Natural_capital_2017,Natural_capital_2018,Energy_2014,Energy_2015,Energy_2016,Energy_2017,Energy_2018,Transport_2014,Transport_2015,Transport_2016,Transport_2017,Transport_2018,Info_comm_2014,Info_comm_2015,Info_comm_2016,Info_comm_2017,Info_comm_2018,Institutions_2014,Institutions_2015,Institutions_2016,Institutions_2017,Institutions_2018,Private_sector_2014,Private_sector_2015,Private_sector_2016,Private_sector_2017,Private_sector_2018,Structural_Change_2014,Structural_Change_2015,Structural_Change_2016,Structural_Change_2017,Structural_Change_2018
AFG,Afghanistan,20.49937188,20.5233958,21.71239041,21.98814423,22.11770619,35.4310862,35.73605806,36.08972976,36.57788165,37.01340549,57.9792586,57.97308481,57.97310031,57.80558477,57.63806924,25.48712108,25.56248751,25.60211091,26.0847031,26.5672953,8.807170534,8.761537087,14.64123488,14.61304497,14.58485506,4.574833068,4.71829368,4.960378145,5.144637827,5.328728731,22.38763304,22.22874343,19.54810877,19.48825286,19.132798,42.32531316,42.32735451,42.30901674,41.63335667,40.81858366,15.60006866,15.2811587,15.35129483,16.24143913,16.64725826
ALB,Albania,30.33716623,31.12187365,31.18487231,31.43106653,31.6481142,52.50819469,52.67686841,52.56155357,53.12130501,53.68306893,50.86130897,50.42872511,50.42870476,50.42870476,50.42870476,25.30911696,25.31413367,25.31413367,24.88892781,24.55347815,14.00397008,15.63207464,15.58477475,15.58344126,15.58228384,10.58021227,10.96308978,11.31345052,11.87526319,12.44884003,54.30298071,54.43255657,54.34877912,54.73391683,55.08663282,82.01429852,81.90777445,81.87783959,81.84790472,81.81796986,16.08605977,17.12897697,16.98990327,17.23254813,17.31807446
DZA,Algeria,26.64273116,26.82023013,29.16441926,27.51730371,27.76087312,50.81050197,50.77462444,51.44348595,51.67240148,51.90090823,55.33858555,53.61606935,53.61612018,53.96539312,54.22498996,29.0499536,29.05060739,29.05060739,29.10665352,29.15190658,8.156411752,8.145494458,14.68666721,8.519947705,8.516016998,8.429130573,9.169407182,9.928460423,10.58886799,11.25017282,35.99242689,35.95054452,35.44745841,35.50484405,35.46696054,77.55489958,77.78207031,77.8401458,77.88519474,77.93851352,16.19573502,16.20911892,16.23498034,16.23498034,16.23498021
AND,Andorra,40.65109576,41.36920509,41.39633521,41.69091324,41.84524266,55.56115291,55.65464686,54.42640094,55.96945867,56.20164585,53.28722662,52.7302143,52.71876783,52.8485785,52.93263657,29.21275007,29.21792214,29.25576814,29.23698975,29.23699848,26.79223987,27.88073091,28.16404829,28.32195142,28.47992813,15.8675337,16.29996412,16.56481078,16.83039791,17.09605443,63.1291654,63.18338662,63.04713034,63.18375909,63.23284555,87.09488838,87.15969843,87.14307608,87.24105272,87.30739447,36.88672319,39.97584848,40.08012042,40.16708179,40.21007142
AGO,Angola,22.11367907,21.90154817,22.03398531,22.11767765,22.15588531,32.41560447,33.07090933,33.8637468,35.0296049,35.8853199,55.71112341,51.88408365,51.88384978,51.91430194,51.9447511,22.54147807,22.62448745,22.62448745,22.69703989,22.76959233,10.77716839,9.889462853,10.60629201,10.57685821,10.54091961,5.024594597,5.147187882,5.0326215,5.009757658,4.986995588,31.61089562,32.06954442,31.91474014,32.17088968,32.18441764,64.80441275,65.87653981,65.66794311,65.57807337,65.57931809,12.66375541,12.68157488,12.49383941,12.41165199,12.33017055
ARG,Argentina,32.30846502,32.48217334,33.02997262,33.06384759,33.03423878,55.40817159,55.66833449,55.37053096,55.37401853,55.38070084,55.73778566,55.33839736,55.33824565,55.33824565,55.33824565,29.80259717,29.86079862,29.86079862,29.74637657,29.75296112,11.68366319,11.66738039,11.65230537,11.65027882,11.64886326,14.91703476,15.2969957,15.56298016,16.00694947,16.48502831,45.88638534,47.59150593,54.06290956,52.73955683,50.40753043,73.63394413,73.66375242,73.62938268,73.56222188,73.50745496,21.90430692,21.53087232,21.4488998,21.65835235,21.85749298
ARM,Armenia,31.56391799,31.51141921,31.8878237,31.99979577,32.15815686,47.73139263,47.76065684,47.69784588,47.92213287,48.09978875,57.1162185,57.06472281,57.06474865,57.07057687,57.07643134,28.74329903,28.19852877,28.19852877,28.26505009,28.3315714,13.45547056,13.45030752,14.61560152,14.6152255,14.61484949,12.14577808,12.42467897,12.59836778,12.84765602,13.127945,48.69889672,49.0706289,48.69628781,47.98908564,48.47391433,78.61870902,78.45280265,78.61661253,78.57714813,78.71328377,20.09360324,19.66218495,19.75899079,20.08682671,20.08682671
ABW,Aruba,35.57491506,36.03855212,35.31260799,35.39261403,35.44858347,43.60332454,43.54009003,43.11920548,43.45744241,43.53094321,48.24589799,48.24587536,48.24574272,48.24588326,48.24601567,23.71840572,23.70825957,23.74235046,23.75186601,23.76138156,25.92075343,25.89891334,25.72821737,25.85885059,25.85885059,18.10385939,18.17850472,15.92773419,16.17868731,16.4313665,80.0443141,82.67292669,82.8628344,82.46001053,82.46001053,79.10848983,78.92166485,78.93080282,79.04879295,79.11632677,17.30266952,18.59902763,18.26479863,18.12958379,18.02467582
AUS,Australia,42.39775361,42.45516564,41.75793361,42.48904451,42.58513375,76.75742724,79.34815735,70.15540811,78.10783479,78.21635606,59.59144612,58.15193255,58.15193689,58.03526166,57.91858643,36.05488605,36.12063308,36.12063308,36.15965459,36.19387768,15.80452681,15.75237784,15.72366253,15.70610136,15.6885402,22.24439981,22.43198446,22.74271837,23.30630792,23.63513107,91.91023032,90.65538119,90.49649415,90.9937476,91.25993756,88.20895625,88.6056288,88.90510633,89.07782975,89.25055317,22.21240503,22.31101094,21.80603747,21.84146898,21.84146898
AUT,Austria,43.37215056,43.46129922,43.51392354,43.78511862,43.97418007,78.41094619,78.49271461,79.11490276,79.65985133,80.28157183,44.55287605,44.54077851,44.5407855,44.53984464,44.53753316,33.45752172,33.52422283,33.52422283,33.54721741,33.56048703,20.51478878,20.33627724,20.2840926,20.26286543,20.24664444,23.13987345,24.3499919,24.67626074,25.33683451,25.96952803,89.86763837,88.49946072,87.14332277,88.64428858,88.82352081,85.42833295,85.34444532,85.25222846,85.3002621,85.3401524,29.39734818,29.03953164,29.26013158,29.23568087,29.23568087
AZE,Azerbaijan,29.86782563,29.95081462,30.2024147,30.1906914,30.22042025,46.43188091,46.60194252,46.65953113,46.71006122,46.82985613,61.04929359,58.93998222,58.93962595,58.90384266,58.866148,29.92939287,29.91629647,29.91629647,29.63892394,29.58235811,13.23815995,13.44925779,13.47093736,13.49193842,13.5116406,14.80131451,14.88775796,14.55233443,14.4550343,14.39824588,38.8815873,38.90370774,39.21742914,39.57829263,39.93915611,71.80621877,72.26172375,71.97639808,72.10736066,72.20521645,13.64583375,13.99975175,15.20820799,15.20680036,15.20539248
BHS,Bahamas,36.48218728,36.17712801,36.30134354,36.22949391,36.27736765,51.0912253,51.06999518,51.13638768,51.35762947,51.58643209,38.76680168,38.76638525,38.76640278,38.76204226,38.7579336,24.22517036,24.24388577,24.23452717,24.24301157,24.25049643,37.26389483,35.74870274,35.77693013,34.91184411,34.90051865,16.37737619,16.57898839,17.10545391,17.370013,17.634572,73.37551038,71.82205399,70.65393901,70.02175949,69.52800086,81.08635888,80.70318826,80.79538289,80.61077455,80.46591234,18.01118603,17.79436571,17.96804773,17.96804816,17.96804825
BHR,Bahrain,38.08877874,38.29881687,38.39317701,38.73727287,39.02701959,48.8253113,50.08985216,51.46642668,52.84577042,54.07508422,50.91826873,50.14990075,50.14994616,50.12601074,50.10230622,39.27068458,39.27068458,39.27068458,39.23921641,39.21983532,27.61479893,27.56776255,27.52035377,27.53658052,27.5668665,18.10382058,18.08707748,18.85428189,19.4955187,20.13675551,55.21478387,54.56117611,52.41984335,53.21226133,53.35110409,83.84307939,84.33689083,84.33976885,84.49052927,84.61902208,19.60444455,20.45141379,20.30379955,20.21036193,20.2103619
BGD,Bangladesh,25.55909097,26.03212443,26.47675788,26.64962877,26.84937474,42.93184175,43.52975496,43.76641143,44.2279175,44.68604299,57.95488018,58.06566701,58.06586534,58.06904814,58.0722631,24.67413412,24.86911676,24.86911676,25.08699706,25.30124863,11.65831696,12.713493,13.56411561,13.61429992,13.59104657,5.808305545,6.04684007,6.28598414,6.475001271,6.683212656,37.24006587,36.77340397,37.717797,37.51327829,37.7406398,72.64205579,72.67592211,72.71997009,72.72818402,72.73639796,16.19451318,16.33026131,16.33922506,16.41785809,16.49649112
BRB,Barbados,37.87381491,38.15685756,37.97450999,38.24101658,38.39777737,53.28748065,53.10104695,52.98649001,53.11090088,53.26814515,49.54942484,49.52356037,49.52434704,49.4712857,49.39744561,25.00717695,25.0176417,25.02194979,25.06767895,25.12673903,24.03466286,23.98635118,23.76644371,23.84925654,23.9004824,19.8317806,20.72514034,21.06799737,21.72715761,22.32007859,78.31833663,79.26272693,76.39454113,77.53597162,77.76001217,81.57433922,80.42561665,80.37363026,80.08773427,79.80285808,21.05557878,21.55233942,21.42244334,21.57930434,21.59053198
BLR,Belarus,33.37125908,33.54565817,33.93279106,34.20315364,34.39257904,51.43754168,51.5647759,51.63520145,51.68233909,51.72855354,48.25056842,48.17361943,48.17295687,48.10471368,48.07049196,31.64989819,31.64066779,31.64066779,31.70057874,31.76048968,15.60187554,15.61908678,15.65834314,15.68823721,15.7176788,18.58046565,19.59367794,20.24137107,21.20673885,22.04713664,40.28366549,40.13087248,40.73176879,41.47991466,41.6846705,77.82630624,78.18476812,78.07543281,77.71733398,77.71733398,21.54452799,21.24761199,22.1578919,22.15789193,22.07938595
BEL,Belgium,44.5242614,44.65106983,44.66551349,44.84134252,44.97917483,77.1212215,79.03944067,79.53038825,80.44149729,81.33711935,50.14028099,50.1201824,50.12018094,50.10031968,50.08013899,35.13134383,35.14179397,35.14179397,35.0618562,35.00991101,23.09925561,23.07429191,23.13494119,23.31748681,23.32457017,22.56496566,22.99706422,23.18129941,23.56927347,23.91818736,84.49814537,84.6761363,83.83745064,83.72216219,83.70182741,83.8418504,84.00136722,84.13838604,84.2319222,84.32545835,30.78773018,30.06951018,29.89307361,29.84889259,29.83396582
BLZ,Belize,32.89509306,33.6225649,33.49937329,34.00288575,34.26332083,46.21044235,46.35501049,46.40836572,46.59737745,46.78061245,40.33277996,40.09806898,40.09821369,40.10303863,40.10786357,24.2035409,24.3442031,24.34497578,24.47839973,24.47839973,55.27147606,56.64038154,56.33655697,58.46493162,60.59330628,7.942686984,9.264401546,9.131598635,9.363618434,9.595638233,48.84733865,49.05735035,48.61405024,48.52575098,48.23985288,78.06625841,78.09920862,78.01607094,77.93293326,77.84979558,18.15511412,17.95298871,17.94237026,18.87000391,18.94066402
BEN,Benin,23.39043454,23.60657823,23.59438686,23.71190558,23.84175,36.63220932,36.86951401,37.25149043,37.6296446,37.96932554,50.9106981,51.47426893,51.47452167,51.54217396,51.60982625,17.04478881,17.15486131,17.12191192,17.15913609,17.19652255,10.34130866,9.468338888,9.382005535,9.393989853,9.393464884,5.272145009,5.710630251,5.567126793,5.799185177,6.03095448,47.54292907,47.17738708,48.2805073,47.37543707,46.84770225,76.69145958,76.69669294,76.86791898,77.09664951,77.35018796,14.17903734,15.1408814,15.09168006,15.09168006,15.09168006
BMU,Bermuda,44.40995271,44.05453632,43.14630931,43.02653165,43.680314,51.16928622,51.33481803,51.39115245,51.44501214,51.50670431,44.39551187,44.39555609,44.39558415,44.3955124,44.39546149,25.20703901,25.18806444,25.18580102,25.18580102,25.18580102,51.14650511,51.59048798,52.63223875,52.83116236,52.68973307,41.90500272,39.47016019,30.0809006,34.91867891,36.06056126,73.77592793,77.78899609,78.8890089,78.59625713,77.99776524,84.93602131,84.70294042,84.66740764,84.8646682,85.0625207,19.6735981,18.42144,19.76468423,16.59494609,18.25362063
BTN,Bhutan,28.61477742,29.01317534,29.52632616,29.79838677,30.10631333,45.64185824,45.87139099,46.04154697,46.27879962,46.53099265,41.45233976,41.93438187,41.93482435,41.74056662,41.54572147,21.87380048,21.88306464,21.90632495,22.13659567,22.36686638,20.36628055,19.79501771,21.75674026,21.7505767,21.74441315,7.303283085,8.016533495,8.236225836,8.727449561,9.218658302,62.03349736,63.22576944,63.9794496,63.24397566,63.27687984,73.30128055,73.36966787,73.45538539,73.65987368,73.86436196,16.05900667,16.20274584,16.2179078,16.43926922,16.66063064
