country_code,ECONOMY,region,income_group,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2020_GDP,2021_GDP
AFG,Afghanistan,South Asia,0,19550.70257,18713.04841,18019.55818,18896.35202,18418.8483,18904.49026,19793.26241,17878.22421
ALB,Albania,Europe & Central Asia,Upper middle income,13228.24008,11386.92485,11861.35645,13019.72986,15156.43997,15400.23716,14909.61934,17495.53798
DZA,Algeria,Middle East & North Africa,Lower middle income,213809.9795,165979.1188,160034.2117,170096.9845,175415.1804,171158.2343,147688.6938,165547.6558
AND,Andorra,Europe & Central Asia,High income,3267.334446,2788.757749,2894.646184,3000.160225,3218.419456,3155.149348,2864.399402,3041.860054
AGO,Angola,Sub-Saharan Africa,Lower middle income,145712.1753,116193.6475,101123.83,122123.8586,101353.2117,89417.18912,62306.91557,79162.1137
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,1249.733333,1336.692593,1436.585185,1467.977778,1605.944444,1687.533333,1370.351852,1427.885078
ARG,Argentina,Latin America & Caribbean,Upper middle income,567050.1453,644903.2005,557532.3174,643628.3962,517626.8539,445445.2546,383067.1587,480679.3291
ARM,Armenia,Europe & Central Asia,Upper middle income,11609.51324,10553.33753,10546.13624,11527.45871,12457.94071,13619.29055,12641.21087,13800.92454
ABW,Aruba,Latin America & Caribbean,0,2790.849162,2962.905028,2983.636872,3092.430168,3202.189944,3310.2045,2496.791098,2767.709835
AUS,Australia,East Asia & Pacific,High income,1464444.525,1247634.399,1310104.587,1416783.719,1458952.689,1380207.833,1423472.702,1716217.623
AUT,Austria,Europe & Central Asia,High income,441996.1317,381817.5659,395568.6443,417261.1518,455168.1519,445011.8727,433258.4677,475559.7354
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,75239.73749,53076.24475,37867.00702,40866.63205,47112.47929,48174.23529,42607.17647,53676.40688
BHS,Bahamas,Latin America & Caribbean,High income,11142.94635,11890.63258,11992.58573,12359.74942,12837.8494,13164.42914,9907.503061,10908.3248
BHR,Bahrain,Middle East & North Africa,High income,33387.68617,31050.6383,32234.97413,35473.78536,37654.0236,38473.7176,33903.8846,38313.0701
BGD,Bangladesh,South Asia,Lower middle income,173061.5697,194465.9811,220315.8321,245633.4889,269627.6155,301051.1018,329484.1931,365043.8423
BRB,Barbados,Latin America & Caribbean,High income,4696.345,4715.005,4829.32,4985.965,5122.9,5297.95,4439.724484,4660.071093
BLR,Belarus,Europe & Central Asia,Upper middle income,78813.05053,56454.77726,47723.54932,54725.41881,60031.0359,64410.16947,60258.85656,66970.40511
