country_code,YEARS,productivity_over_index,human_capital,natural_capacity,energy,transport,info_comm_tech,institutions,private_sector,structural_change
AFG,2008,18.82328215,31.0948557,58.48553563,22.25815129,8.488683992,3.577535348,15.94755815,54.60018625,14.72394173
AFG,2009,19.25562249,32.64318942,58.32826909,23.13882981,8.760733401,3.879256606,15.46374928,53.51075459,15.254662
AFG,2010,19.38053052,33.30604433,58.48652404,23.2729563,8.972954624,3.836936278,16.08495726,51.44146802,15.41138059
AFG,2011,19.84480219,33.29486712,58.24382208,24.59089279,8.958996348,4.16074006,16.5931357,51.10748033,15.9562145
AFG,2012,20.46073239,34.44351749,58.08759468,24.90116362,8.905547246,4.308838841,20.44655486,51.08289131,15.38304794
AFG,2013,20.30097211,34.8852968,57.98099656,25.0844384,8.866939984,4.419347795,20.22563949,45.26391134,15.84951235
AFG,2014,20.49937188,35.4310862,57.9792586,25.48712108,8.807170534,4.574833068,22.38763304,42.32531316,15.60006866
AFG,2015,20.5233958,35.73605806,57.97308481,25.56248751,8.761537087,4.71829368,22.22874343,42.32735451,15.2811587
AFG,2016,21.71239041,36.08972976,57.97310031,25.60211091,14.64123488,4.960378145,19.54810877,42.30901674,15.35129483
AFG,2017,21.98814423,36.57788165,57.80558477,26.0847031,14.61304497,5.144637827,19.48825286,41.63335667,16.24143913
AFG,2018,22.11770619,37.01340549,57.63806924,26.5672953,14.58485506,5.328728731,19.132798,40.81858366,16.64725826
ALB,2008,28.36249594,48.14383814,50.55865863,22.32278087,13.9450835,7.007126239,50.13322618,81.38866869,19.32948869
ALB,2009,29.76942909,48.32154359,50.75534778,25.20674556,14.05582399,8.683735676,51.27908843,82.57492643,19.30515381
ALB,2010,29.9294941,48.90339196,50.74657899,27.49026923,14.23539492,9.004540138,51.02128042,82.61883073,17.46661735
ALB,2011,29.91950873,49.91006576,51.14088841,25.19359837,14.29527287,9.684676184,50.00014633,82.65839725,17.45232312
ALB,2012,30.03839012,50.79012069,51.05269983,25.40649708,14.30366079,10.39068373,49.52662702,82.41295374,16.58612438
ALB,2013,29.99646063,50.95067582,50.95208134,24.22325335,14.33403817,10.66653537,50.37498734,82.04082873,16.4960073
ALB,2014,30.33716623,52.50819469,50.86130897,25.30911696,14.00397008,10.58021227,54.30298071,82.01429852,16.08605977
ALB,2015,31.12187365,52.67686841,50.42872511,25.31413367,15.63207464,10.96308978,54.43255657,81.90777445,17.12897697
ALB,2016,31.18487231,52.56155357,50.42870476,25.31413367,15.58477475,11.31345052,54.34877912,81.87783959,16.98990327
ALB,2017,31.43106653,53.12130501,50.42870476,24.88892781,15.58344126,11.87526319,54.73391683,81.84790472,17.23254813
ALB,2018,31.6481142,53.68306893,50.42870476,24.55347815,15.58228384,12.44884003,55.08663282,81.81796986,17.31807446
DZA,2008,25.41509022,44.95536551,57.31126446,28.72306459,8.259321552,6.19990147,37.18366451,77.62685367,15.91430267
DZA,2009,25.51004481,46.19104335,55.41413961,28.22273745,8.613559486,6.583358924,35.58088293,77.80202944,15.81519066
DZA,2010,25.5428477,46.40401734,55.64948935,28.45941001,8.193594025,6.725365609,35.70317014,77.74864058,16.11840005
DZA,2011,25.87598921,49.78570697,56.39607622,28.59521819,8.332505465,7.051683101,34.8516326,77.20291684,15.83446806
DZA,2012,26.09651068,50.36357282,56.25232338,28.59767198,8.296267233,7.429514277,35.40975601,77.17959488,15.76170807
DZA,2013,26.34492534,50.8947159,55.81844305,28.80355568,8.222820283,7.744780098,36.73603966,77.28614765,15.68394739
DZA,2014,26.64273116,50.81050197,55.33858555,29.0499536,8.156411752,8.429130573,35.99242689,77.55489958,16.19573502
DZA,2015,26.82023013,50.77462444,53.61606935,29.05060739,8.145494458,9.169407182,35.95054452,77.78207031,16.20911892
DZA,2016,29.16441926,51.44348595,53.61612018,29.05060739,14.68666721,9.928460423,35.44745841,77.8401458,16.23498034
DZA,2017,27.51730371,51.67240148,53.96539312,29.10665352,8.519947705,10.58886799,35.50484405,77.88519474,16.23498034
DZA,2018,27.76087312,51.90090823,54.22498996,29.15190658,8.516016998,11.25017282,35.46696054,77.93851352,16.23498021
ARG,2008,31.40415157,54.64696016,56.1224422,30.06374698,11.18950849,10.98770522,48.27125972,77.65334079,22.26301886
ARG,2009,31.66889344,56.13843261,55.47174841,29.5504996,11.1694035,11.79080994,46.37498489,78.0375882,23.06773242
ARG,2010,32.23696132,55.88640772,55.77310004,29.97956288,11.38815289,12.79321841,48.75854546,78.06580557,22.50773631
ARG,2011,32.59740568,55.71655412,55.84885491,29.85023334,11.48685125,13.47353018,49.94191203,78.13237271,22.72686185
ARG,2012,32.38711255,55.48762418,55.83512235,30.01881525,11.57838157,14.07108475,47.53299759,74.5496323,22.54574279
ARG,2013,32.4487943,55.32122203,55.75586485,29.5775699,11.73039066,14.88316152,47.00959365,74.0345591,22.17251931
ARG,2014,32.30846502,55.40817159,55.73778566,29.80259717,11.68366319,14.91703476,45.88638534,73.63394413,21.90430692
