country_code,YEARS,GDP_USdollars_millions,GDP_per_capita_Usdollars
AFG,2008,10236.90159,387.3623381
AFG,2009,11595.13347,423.4071018
AFG,2010,14698.88968,521.4281911
AFG,2011,17350.69495,593.2032484
AFG,2012,19136.49934,628.1165389
AFG,2013,19621.80246,622.1005179
AFG,2014,19550.70257,597.5845786
AFG,2015,18713.04841,554.4032164
AFG,2016,18019.55818,520.252064
AFG,2017,18896.35202,530.1498308
AFG,2018,18418.8483,502.0567706
AFG,2019,18904.49026,500.5226642
AFG,2020,19793.26241,507.8811865
AFG,2021,17878.22421,445.8469844
ALB,2008,12881.35206,4364.06141
ALB,2009,12044.21039,4109.893153
ALB,2010,11926.94828,4093.8259
ALB,2011,12890.87332,4444.126505
ALB,2012,12319.7796,4259.667181
ALB,2013,12776.28074,4425.430822
ALB,2014,13228.24008,4586.606188
ALB,2015,11386.92485,3950.390255
ALB,2016,11861.35645,4117.00697
ALB,2017,13019.72986,4521.752217
ALB,2018,15156.43997,5268.116608
ALB,2019,15400.23716,5358.686194
ALB,2020,14909.61934,5200.699212
ALB,2021,17495.53798,6128.656843
DZA,2008,171000.6921,4946.563793
DZA,2009,137211.0084,3898.478923
DZA,2010,161207.3063,4495.921455
DZA,2011,200019.103,5473.446129
DZA,2012,209059.0831,5610.733341
DZA,2013,209755.0033,5519.777576
DZA,2014,213809.9795,5516.229431
DZA,2015,165979.1188,4197.417302
DZA,2016,160034.2117,3967.200637
DZA,2017,170096.9845,4134.935989
DZA,2018,175415.1804,4183.8231
DZA,2019,171158.2343,4007.885713
DZA,2020,147688.6938,3398.919016
DZA,2021,165547.6558,3747.289871
ARG,2008,365644.3766,9078.970897
ARG,2009,336359.3896,8267.539947
ARG,2010,426487.4349,10376.79218
ARG,2011,530158.1767,12768.51464
ARG,2012,581430.9044,13859.31173
ARG,2013,613316.0274,14469.00385
ARG,2014,567050.1453,13241.39338
ARG,2015,644903.2005,14908.6213
ARG,2016,557532.3174,12767.45535
ARG,2017,643628.3962,14609.78337
ARG,2018,517626.8539,11654.69362
ARG,2019,445445.2546,9955.080521
ARG,2020,383067.1587,8505.792843
ARG,2021,480679.3291,10616.46453
ARM,2008,12436.66419,4168.591756
ARM,2009,9222.356746,3111.145697
ARM,2010,9875.377779,3351.797591
ARM,2011,10815.77761,3692.682224
ARM,2012,10619.32069,3643.715404
ARM,2013,11121.46443,3833.157071
ARM,2014,11609.51324,4017.229913
ARM,2015,10553.33753,3666.141825
ARM,2016,10546.13624,3679.952349
ARM,2017,11527.45871,4041.995072
ARM,2018,12457.94071,4391.923274
ARM,2019,13619.29055,4828.504889
ARM,2020,12641.21087,4505.693908
ARM,2021,13800.92454,4944.841671
AUS,2008,1057010.486,49746.6493
AUS,2009,1014835.717,46851.05843
AUS,2010,1299463.076,59015.08524
AUS,2011,1546688.928,69181.31127
AUS,2012,1590707.559,69984.9854
AUS,2013,1543216.348,66771.84596
AUS,2014,1464444.525,62397.56259
AUS,2015,1247634.399,52377.07969
AUS,2016,1310104.587,54146.17194
AUS,2017,1416783.719,57615.47276
AUS,2018,1458952.689,58406.63179
AUS,2019,1380207.833,54430.67317
AUS,2020,1423472.702,55452.66358
AUS,2021,1716217.623,66209.31795
AUT,2008,430310.2271,51712.94948
AUT,2009,400148.1935,47962.5208
AUT,2010,391892.7465,46861.26507
AUT,2011,431120.3101,51377.67067
AUT,2012,409425.2342,48569.73487
AUT,2013,430068.713,50718.40733
AUT,2014,441996.1317,51719.25091
AUT,2015,381817.5659,44179.46845
AUT,2016,395568.6443,45277.76947
AUT,2017,417261.1518,47429.53584
AUT,2018,455168.1519,51486.62209
AUT,2019,445011.8727,50114.28824
AUT,2020,433258.4677,48638.22564
AUT,2021,475559.7354,53301.43069
AZE,2008,48851.31883,5428.107663
AZE,2009,44292.40882,4856.821881
AZE,2010,52905.99888,5727.491818
AZE,2011,65952.76395,7046.977807
AZE,2012,69679.91351,7345.881105
AZE,2013,74160.55301,7713.424796
AZE,2014,75239.73749,7723.328299
AZE,2015,53076.24475,5381.087076
AZE,2016,37867.00702,3795.716288
AZE,2017,40866.63205,4057.624007
AZE,2018,47112.47929,4640.470544
AZE,2019,48174.23529,4707.846979
AZE,2020,42607.17647,4142.6718
AZE,2021,53676.40688,5204.736596
BHS,2008,10526,29013.63029
BHS,2009,9982,27120.79922
BHS,2010,10095.8,27046.76483
BHS,2011,10070.4,26644.79428
BHS,2012,10720.49683,28059.64709
BHS,2013,10494.61519,27212.79706
BHS,2014,11142.94635,28635.463
BHS,2015,11890.63258,30279.40773
BHS,2016,11992.58573,30286.14293
BHS,2017,12359.74942,30975.26295
BHS,2018,12837.8494,31942.41788
BHS,2019,13164.42914,32540.35684
BHS,2020,9907.503061,24374.44015
BHS,2021,10908.3248,26742.25139
BHR,2008,25710.87441,23155.79457
BHR,2009,22938.22034,19448.18517
BHR,2010,25713.27128,21186.81433
BHR,2011,28776.60946,23741.56878
BHR,2012,30749.33253,25102.74596
BHR,2013,32539.5575,25790.80118
BHR,2014,33387.68617,25464.73981
BHR,2015,31050.6383,22795.44886
BHR,2016,32234.97413,22867.18163
BHR,2017,35473.78536,24349.91589
BHR,2018,37654.0236,25316.35242
BHR,2019,38473.7176,25748.91352
BHR,2020,33903.8846,22947.27307
BHR,2021,38313.0701,26183.27514
BGD,2008,91646.9401,630.2166791
BGD,2009,102126.4965,696.1264886
BGD,2010,114507.7977,771.6619636
BGD,2011,123506.2924,822.218668
BGD,2012,128899.3079,847.5163248
BGD,2013,153504.9348,996.5902507
BGD,2014,173061.5697,1109.644321
BGD,2015,194465.9811,1232.123051
BGD,2016,220315.8321,1378.830477
BGD,2017,245633.4889,1518.186976
BGD,2018,269627.6155,1647.245209
BGD,2019,301051.1018,1818.861609
BGD,2020,329484.1931,1967.998576
BGD,2021,365043.8423,2155.478999
BRB,2008,4784.95,17550.75467
BRB,2009,4465.65,16310.43387
BRB,2010,4529.93,16489.80201
BRB,2011,4657.7,16907.21126
BRB,2012,4610.095,16691.32902
BRB,2013,4677.25,16893.61241
BRB,2014,4696.345,16924.19268
BRB,2015,4715.005,16955.38742
BRB,2016,4829.32,17331.19444
BRB,2017,4985.965,17858.87237
BRB,2018,5122.9,18316.48122
BRB,2019,5297.95,18909.09415
BRB,2020,4439.724484,15817.01177
BRB,2021,4660.071093,16572.08781
BLR,2008,62807.17804,6416.867039
BLR,2009,50873.19016,5213.641376
BLR,2010,57231.90589,5881.142189
BLR,2011,61762.34255,6362.672653
BLR,2012,65685.90873,6776.109917
BLR,2013,75527.53444,7793.464734
BLR,2014,78813.05053,8130.304574
