country_code,YEARS,tech_overall_index,  ICT,  skills,research_dev,  Industry_activity,finance_access
AFG,2008,0.072075047,0.103354126,0.170864791,0,0.331855387,0.242233083
AFG,2009,0.071050748,0.079600573,0.165314853,0,0.401367873,0.308690637
AFG,2010,0.096194461,0.078095481,0.156797975,0,0.435487628,0.310785711
AFG,2011,0.12301404,0.087214299,0.151914597,0,0.358646989,0.323598594
AFG,2012,0.052903161,0.074048437,0.15456678,0.055487551,0.343088508,0.161663994
AFG,2013,0.020335488,0.016969029,0.147540301,0.034189932,0.442453831,0.133762762
AFG,2014,0.019266946,0.018227704,0.14461115,0,0.407678843,0.067009963
AFG,2015,0.001424715,0.021296687,0.145165458,0,0.205413267,0
AFG,2016,0,0.024718914,0.148148984,0.032731473,0.189205065,0
AFG,2017,0,0.10918884,0.129090682,0.051103529,0.157855019,0
AFG,2018,0.014385442,0.094005093,0.131226867,0.031899985,0.249040216,0
AFG,2019,0.047518808,0.07894671,0.131194577,0.134799749,0.282706827,0
ALB,2008,0.25041014,0.144351646,0.443390578,0.03449342,0.325374246,0.589332044
ALB,2009,0.255162567,0.13984783,0.429172427,0.036048286,0.505051732,0.603202105
ALB,2010,0.254715532,0.183131039,0.414143235,0.055564866,0.417712838,0.599690259
ALB,2011,0.367789626,0.478019774,0.389835119,0.055660311,0.460906655,0.597030997
ALB,2012,0.333049744,0.482770562,0.414158464,0.070017487,0.396428317,0.617382765
ALB,2013,0.357555956,0.473731309,0.417975217,0.139750063,0.465020239,0.609790921
ALB,2014,0.354079247,0.404267728,0.47674346,0.117239036,0.394863457,0.574785411
ALB,2015,0.357842684,0.464183807,0.473926544,0.093531542,0.342331827,0.552385092
ALB,2016,0.360511661,0.470746666,0.468571961,0.103756331,0.381063849,0.542139053
ALB,2017,0.362742126,0.571706533,0.412442207,0.115589023,0.343016654,0.564604878
ALB,2018,0.376679361,0.580762386,0.42053625,0.14813894,0.354466438,0.551920116
ALB,2019,0.384652078,0.622536838,0.422298491,0.139646918,0.367240131,0.548050642
DZA,2008,0.216802999,0.131455302,0.476754338,0.199418902,0.064708427,0.37756595
DZA,2009,0.215841055,0.11353378,0.463585287,0.219442681,0.162498117,0.377346665
