"MEASURE - Index"

,YEAR,"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"ECONOMY","CATEGORY",
"Afghanistan","Overall index",0.0720750466,0.0710507482,0.096194461,0.1230140403,0.0529031605,0.020335488,0.0192669462,0.0014247153,0,0,0.0143854422,0.0475188084
"Afghanistan","  ICT",0.1033541262,0.0796005726,0.0780954808,0.0872142985,0.0740484372,0.0169690289,0.0182277039,0.0212966874,0.0247189142,0.1091888398,0.094005093,0.0789467096
"Afghanistan","  Skills",0.1708647907,0.1653148532,0.1567979753,0.1519145966,0.1545667797,0.1475403011,0.14461115,0.1451654583,0.1481489837,0.1290906817,0.1312268674,0.1311945766
"Afghanistan","  Research and Development",0,0,0,0,0.0554875508,0.034189932,0,0,0.0327314734,0.0511035286,0.0318999849,0.1347997487
"Afghanistan","  Industry activity",0.3318553865,0.401367873,0.435487628,0.3586469889,0.3430885077,0.4424538314,0.4076788425,0.205413267,0.1892050654,0.157855019,0.2490402162,0.2827068269
"Afghanistan","  Access to finance",0.2422330827,0.3086906374,0.3107857108,0.3235985935,0.1616639942,0.133762762,0.0670099631,0,0,0,0,0
"Albania","Overall index",0.2504101396,0.2551625669,0.2547155321,0.3677896261,0.3330497444,0.3575559556,0.3540792465,0.3578426838,0.3605116606,0.362742126,0.3766793609,0.3846520782
"Albania","  ICT",0.1443516463,0.1398478299,0.1831310391,0.478019774,0.4827705622,0.4737313092,0.4042677283,0.4641838074,0.4707466662,0.5717065334,0.5807623863,0.6225368381
"Albania","  Skills",0.443390578,0.4291724265,0.4141432345,0.3898351192,0.4141584635,0.4179752171,0.4767434597,0.4739265442,0.4685719609,0.4124422073,0.4205362499,0.422298491
"Albania","  Research and Development",0.0344934203,0.0360482857,0.0555648655,0.0556603111,0.0700174868,0.1397500634,0.1172390357,0.0935315415,0.1037563309,0.1155890226,0.1481389403,0.1396469176
"Albania","  Industry activity",0.3253742456,0.5050517321,0.4177128375,0.4609066546,0.3964283168,0.4650202394,0.3948634565,0.3423318267,0.3810638487,0.3430166543,0.3544664383,0.3672401309
"Albania","  Access to finance",0.5893320441,0.6032021046,0.5996902585,0.5970309973,0.6173827648,0.6097909212,0.5747854114,0.5523850918,0.5421390533,0.5646048784,0.5519201159,0.548050642
"Algeria","Overall index",0.2168029994,0.2158410549,0.2228468508,0.290689826,0.2262109369,0.2377034873,0.2687990963,0.270755738,0.305881232,0.3017221391,0.3039200604,0.3058842123
"Algeria","  ICT",0.1314553022,0.11353378,0.1168908849,0.1254499406,0.1190369651,0.1454639882,0.1517024636,0.1664024144,0.2575241625,0.2544502616,0.2709142268,0.2752710879
