"MEASURE - Productive Capacities Index"

CATEGORY,"Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Overall index: Productive capacities index","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Human capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Natural capital","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Energy","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Transport","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Information and Communication Technology (ICT)","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Institutions","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Private sector","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change","Structural Change"
YEAR,"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"ECONOMY",
"Afghanistan",15.3769157786,16.0524832677,16.5941749687,17.3744465623,17.7583045943,18.0679201784,18.3715896466,18.5617481822,18.823282146,19.2556224867,19.3805305227,19.8448021884,20.4607323888,20.3009721083,20.4993718825,20.523395803,21.7123904142,21.9881442331,22.1177061887,23.7246486254,24.2768687615,25.1844594184,26.7306336761,28.3697179237,28.6059985105,28.9646632303,29.3204021494,31.0948557028,32.6431894157,33.3060443328,33.2948671229,34.4435174932,34.8852967953,35.4310861981,35.736058062,36.0897297626,36.5778816539,37.0134054923,60.9671321902,60.9403129193,59.499066209,59.360402119,59.0924347825,59.0457152564,58.7582936255,58.481732587,58.4855356287,58.3282690852,58.4865240402,58.2438220837,58.0875946783,57.9809965567,57.9792586048,57.9730848148,57.9731003062,57.8055847717,57.6380692371,17.3978844475,17.4605769382,18.1538485882,18.5394986641,18.5095393448,19.6415604518,20.282166416,20.9285862239,22.2581512897,23.138829814,23.2729562987,24.5908927908,24.9011636191,25.0844384,25.4871210782,25.562487514,25.6021109073,26.0847031041,26.5672953009,6.9986453738,6.9557922516,6.9722296638,6.9224493315,6.8682275044,7.4025446152,7.8624820609,8.2192476087,8.4886839921,8.7607334006,8.9729546243,8.9589963482,8.905547245699999,8.8669399837,8.807170533900001,8.761537087300001,14.6412348773,14.6130449673,14.5848550572,2.8046325881,2.8023199811,2.8074118105,2.8297590932,2.8633154304,2.9800729905,3.1459999421,3.3158084593,3.5775353483,3.8792566064,3.836936278,4.1607400598,4.3088388413,4.4193477947,4.5748330682,4.7182936797,4.9603781448,5.144637827,5.3287287307,10.6401300728,14.5510026141,18.4618751554,22.3133171997,21.791879838,20.8307170867,18.6123695148,17.7244477967,15.9475581523,15.4637492765,16.0849572646,16.5931357007,20.4465548641,20.2256394901,22.3876330384,22.2287434308,19.5481087686,19.4882528637,19.1327979958,57.1871035111,56.6431537595,56.6431537595,56.6431537595,56.6431537595,56.6431537595,57.7014782632,57.8022988516,54.6001862454,53.5107545875,51.441468022,51.1074803328,51.0828913086,45.2639113381,42.3253131551,42.3273545149,42.3090167363,41.633356671,40.8185836608,10.3998454646,10.6237342043,10.3260158009,11.401525104,13.1302654619,13.1517709644,14.1519050725,14.0631187291,14.7239417309,15.2546620026,15.4113805856,15.9562145041,15.3830479442,15.8495123526,15.6000686551,15.2811587047,15.3512948319,16.2414391349,16.6472582586
"Albania",24.6669439872,24.9141933019,25.625807709,25.9943218308,26.7633992698,26.9698259465,26.6708617029,26.5874488058,28.3624959437,29.769429092,29.9294941039,29.9195087329,30.0383901231,29.9964606315,30.3371662269,31.1218736458,31.1848723125,31.4310665291,31.6481142,46.3298355538,45.9627831098,45.399947087,45.9073787504,46.0899504209,46.8003190797,46.9399344964,47.7542346927,48.1438381423,48.3215435863,48.9033919615,49.9100657638,50.7901206891,50.9506758169,52.5081946876,52.6768684123,52.561553569,53.1213050054,53.6830689332,49.9015948871,49.6391679405,49.6326411948,49.8476163363,49.7901623757,49.5597353589,50.0779320597,50.3498135166,50.5586586349,50.7553477796,50.7465789932,51.1408884148,51.0526998254,50.9520813366,50.8613089741,50.4287251115,50.4287047618,50.4287047618,50.4287047618,23.2645809637,21.8451586485,23.7660571233,23.7611669744,27.0602535741,27.053895519,20.9808294216,15.7598221649,22.3227808657,25.2067455605,27.4902692283,25.1935983679,25.4064970786,24.2232533469,25.3091169603,25.314133669,25.314133669,24.8889278098,24.5534781494,14.9507174488,14.9838630311,14.9805495916,14.9866784535,15.0025447942,14.953032697,14.9672626122,14.9929276581,13.9450834979,14.0558239865,14.2353949238,14.2952728693,14.3036607883,14.3340381715,14.0039700807,15.6320746421,15.5847747481,15.5834412568,15.5822838423,3.2939128551,3.704032615,4.1054806928,4.4380601231,4.7191450171,5.1555109801,5.5847806479,6.409255377,7.0071262392,8.6837356757,9.004540138199999,9.684676183700001,10.3906837323,10.6665353668,10.5802122729,10.9630897838,11.3134505243,11.8752631884,12.4488400287,40.9695428323,42.8346582489,44.6997736655,44.4241007289,45.9570471843,43.3864321888,45.3560095809,48.2061584702,50.1332261842,51.279088426,51.0212804237,50.0001463304,49.526627016,50.3749873392,54.3029807111,54.4325565743,54.3487791236,54.7339168307,55.0866328204,78.80562885010001,78.86882853589999,78.88632271580001,78.9459942549,79.0753788573,79.33652046820001,79.744830881,80.4196669544,81.38866869,82.5749264283,82.6188307292,82.6583972463,82.4129537397,82.04082872630001,82.01429852059999,81.9077744495,81.8778395857,81.84790472180001,81.817969858,16.0272815384,15.8850772186,16.0118619437,16.4356150239,16.4750555013,16.8108418209,17.1711341915,17.688599496,19.3294886904,19.3051538066,17.4666173473,17.4523231211,16.5861243756,16.4960073023,16.0860597723,17.128976966,16.9899032658,17.232548125,17.318074464
"Algeria",22.7742762258,23.0081453249,23.3784236792,23.5277068805,24.0633976656,24.9171430041,25.0195735648,25.3358315205,25.4150902195,25.5100448055,25.5428477004,25.8759892094,26.0965106792,26.3449253433,26.6427311564,26.8202301336,29.1644192612,27.5173037068,27.760873117,42.5814278508,43.2685534601,44.3295440584,43.8019035012,44.038883673,43.7257237027,43.7237663418,44.2503471415,44.9553655117,46.1910433493,46.4040173391,49.785706973,50.3635728214,50.8947159016,50.8105019675,50.7746244397,51.4434859501,51.6724014835,51.9009082344,54.4065290479,54.0794769229,54.0708052198,54.6525072861,55.1719372457,56.6514072976,57.2056246429,56.8310906885,57.3112644619,55.4141396113,55.6494893471,56.3960762154,56.2523233753,55.8184430522,55.3385855492,53.6160693542,53.6161201788,53.965393123,54.2249899596,28.5698034612,28.6188131413,28.7797459564,29.1885506522,28.9640931105,29.6137134902,28.6585533074,28.6988951591,28.7230645877,28.2227374465,28.4594100065,28.5952181928,28.5976719796,28.8035556792,29.0499535962,29.0506073926,29.0506073926,29.1066535231,29.1519065817,8.2176510038,8.1998889711,8.2561840292,8.3164088443,8.392980575499999,8.372958837000001,8.345853292899999,8.3189686921,8.259321551899999,8.6135594863,8.193594024599999,8.332505464700001,8.2962672328,8.222820282900001,8.1564117524,8.1454944581,14.6866672099,8.519947705,8.5160169976,3.3528463235,3.3922729713,3.4863248159,3.6316294162,4.1354569357,4.86457181,5.5173770412,6.1541058083,6.1999014697,6.5833589243,6.725365609,7.0516831006,7.4295142767,7.7447800975,8.4291305731,9.169407181600001,9.928460422900001,10.5888679948,11.2501728235,31.3741609969,33.4025947041,35.4310284112,35.9975106556,38.2537313987,41.3289721151,39.1838164965,37.9021485099,37.1836645096,35.580882925,35.7031701411,34.8516326015,35.4097560072,36.7360396563,35.9924268935,35.9505445233,35.4474584146,35.5048440544,35.4669605409,76.3527722046,76.4561925973,76.66748995899999,76.6181446649,76.63558931670001,76.6826075561,76.6920957217,77.7990016153,77.6268536729,77.8020294422,77.74864058110001,77.2029168392,77.17959487820001,77.2861476458,77.5548995826,77.782070314,77.84014580180001,77.8851947353,77.9385135198,16.5660857592,16.5083923457,16.543847825,16.1316854237,15.6999073287,15.6917119329,15.4798916605,15.582643924,15.9143026685,15.8151906596,16.1184000526,15.8344680638,15.7617080714,15.6839473853,16.1957350244,16.2091189247,16.2349803375,16.2349803375,16.234980212
"Andorra",43.2705405162,43.7724277156,43.1673250348,42.5286530593,42.4734956762,43.2245361203,43.304909287,42.8556992262,43.1980357492,43.177134952,40.4971063812,40.5917347549,40.6368437824,39.2230322024,40.6510957637,41.3692050917,41.396335214,41.6909132445,41.8452426567,50.0573074075,51.8932687979,52.3275744314,52.5409840359,52.8502881194,52.9006644382,53.1519822479,53.2976787953,53.4053165637,54.332261128,53.9889635616,55.3482601828,55.3990717175,55.601925104,55.5611529071,55.6546468611,54.4264009393,55.9694586672,56.201645853,53.4706012129,53.3152594565,53.358579039,53.4577966488,53.6175271073,54.0812826821,54.1826463533,54.0874831291,54.4360021176,53.439622419,53.5122703216,53.6840865361,53.6162549466,53.4420964934,53.2872266187,52.7302142978,52.7187678261,52.8485784992,52.9326365727,29.6322540814,29.942670802,30.1385150073,30.2530425632,30.3314083029,30.3994210244,30.117702547,30.0496967031,29.9467798071,29.6780106599,29.7087198394,29.621358048,29.4171341153,29.2596251586,29.212750069,29.2179221386,29.2557681443,29.2369897476,29.2369984816,27.4248685018,27.4939432404,26.5248265391,27.2095351374,27.3816880877,27.4146076677,27.5315894128,27.8247677803,27.6426159637,28.1723739821,26.9773595318,27.032209527,27.0793416819,27.2984040627,26.7922398726,27.8807309069,28.1640482934,28.3219514163,28.4799281327,22.6316462907,23.1512429444,21.9243025863,21.1475880495,21.7791841344,22.5354656966,23.253480654,23.6422845239,23.8311225448,24.057557171,14.9210376916,15.1235142478,15.2397980726,15.4702822472,15.867533703,16.2999641248,16.5648107756,16.8303979082,17.0960544347,64.8082672123,65.4655379937,66.0564640903,65.4879677892,65.3955894434,65.1365596128,64.52174139260001,64.24118905730001,63.7717818574,63.7167498482,63.5247835678,63.8638631055,63.6293805445,63.5347797362,63.129165402,63.1833866247,63.047130343,63.1837590894,63.2328455475,85.3397862562,85.60372633660001,85.5473357483,85.550920937,85.62683095120001,86.0919540007,86.3913672746,87.0805229093,87.0705476982,87.2118666411,87.27922702870001,87.32106698130001,87.2591487917,87.2846057597,87.0948883818,87.15969843009999,87.1430760758,87.2410527234,87.30739447249999,45.1386596869,45.6073908714,43.5997740381,39.0666834721,36.900918642,40.4420678387,39.9576434245,35.6917576111,38.0774347575,37.2194930568,37.7656605368,36.7314358018,37.1427837277,27.5107584831,36.8867231861,39.97584848,40.0801204166,40.167081786,40.2100714205
"Angola",17.5268608985,18.0141176527,18.1899074061,18.5771949504,18.3551079653,18.8474859466,19.5164584126,19.900221195,20.4206537111,20.4874492362,20.684533134,20.9588668844,21.2557975689,22.0541639779,22.1136790702,21.9015481702,22.0339853097,22.1176776479,22.1558853126,21.2428356306,23.7421825963,22.9337363329,24.2770731075,25.1599327309,25.2190782622,26.3838346135,26.5633699526,27.637051862,28.9110515532,28.2405932717,29.6314945687,30.466534024,32.0855088175,32.415604472,33.0709093257,33.8637468027,35.0296049043,35.8853198956,64.44968085550001,60.9421792258,58.9516458557,58.7436627567,60.6905131838,64.1309522791,62.8102957174,61.7897094021,63.0283499244,56.0630630617,58.4235833804,59.6622248078,58.8577374141,57.4317184144,55.7111234092,51.8840836539,51.8838497812,51.9143019365,51.944751102,19.9640600008,20.0036813665,20.2157898992,20.7905425408,18.39781176,18.8114244067,21.5947835421,21.6871077126,22.6299984425,22.6072164458,22.3982521967,22.5149961111,22.5038746174,22.6506219363,22.5414780712,22.6244874512,22.6244874512,22.6970398923,22.7695923333,7.9515801432,7.9077590883,7.9748523883,7.9213070606,7.7967494294,7.7690689249,7.787992825,8.176806518499999,8.571724637599999,8.5265429144,8.5214155818,8.460633719900001,8.4453983286,10.8299988068,10.7771683887,9.8894628527,10.6062920072,10.5768582115,10.540919607,2.8126448415,2.8290337253,2.8473812106,2.8855507645,2.9506344209,3.1094400193,3.3252719901,3.5760793396,3.8208068526,4.0789737947,4.2032922649,4.4310128205,4.6929052395,4.846706512,5.0245945967,5.147187882,5.0326215,5.0097576584,4.9869955883,17.8322878409,20.83057423,23.8288606191,26.7697263197,25.8874563221,27.6750198257,29.144693259,29.4916729535,31.1683014588,31.8109978871,31.764982208,30.8154669689,32.3422282217,30.8001488993,31.610895615,32.0695444239,31.9147401376,32.1708896762,32.1844176416,61.2811536473,61.3703893502,61.3582207301,61.3858920395,61.4096439537,61.3963180317,61.507725966,61.6761455096,58.2610185104,59.4622548553,62.2001656596,63.4003725518,63.4638855129,64.878039255,64.80441275379999,65.8765398068,65.66794311210001,65.5780733669,65.57931809,13.3305681007,13.3968820699,13.2080328132,12.7373730418,12.5401909774,12.7505059864,12.669182674,12.9913645314,12.8982398087,12.8757565618,12.8129211763,12.7717689552,12.6933662808,12.7837496892,12.6637554106,12.6815748795,12.4938394089,12.4116519911,12.3301705473
"Argentina",28.7370570397,28.380773155,27.6698264267,28.172200785,28.682513696,29.500629567,30.7491017969,31.1388331969,31.4041515744,31.6688934388,32.236961319,32.5974056837,32.3871125463,32.4487943015,32.3084650235,32.4821733398,33.0299726183,33.0638475862,33.0342387753,53.8989267387,54.6363537348,54.0262204663,54.0811354442,53.436886061,53.5468815113,53.9847646852,54.0155899146,54.646960156,56.1384326137,55.8864077184,55.7165541179,55.4876241773,55.3212220253,55.4081715861,55.6683344928,55.3705309557,55.3740185269,55.3807008421,54.4715251325,54.5425026765,55.5207449067,55.489971326,55.6001919235,55.9965261881,56.2364361145,56.1438997454,56.1224422025,55.471748406,55.7731000433,55.8488549071,55.8351223454,55.7558648524,55.7377856556,55.338397361,55.3382456454,55.3382456454,55.3382456454,28.9270361851,28.8124126864,27.987184531,28.5882976176,28.9955571023,29.1834365137,29.2796656788,29.2140548139,30.0637469823,29.5504996025,29.9795628785,29.8502333416,30.0188152512,29.5775699,29.8025971671,29.8607986156,29.8607986156,29.746376574,29.7529611225,9.7302322237,9.483598628599999,9.4164286718,9.3796954744,9.4458546833,9.4864506018,11.1862990567,11.1513078685,11.1895084894,11.1694034976,11.3881528927,11.4868512453,11.5783815719,11.7303906593,11.6836631889,11.6673803905,11.6523053669,11.6502788212,11.6488632621,5.7997566052,6.054039025,5.9966671457,6.4506328261,7.1702993931,8.0950359566,9.077549719,10.2810876367,10.9877052222,11.7908099442,12.7932184136,13.4735301831,14.0710847519,14.8831615208,14.9170347645,15.296995699,15.5629801598,16.0069494733,16.4850283072,56.7181664825,50.3154235042,43.912680526,47.2662938312,46.483120782,49.5971016038,50.2995677398,50.7024498184,48.2712597171,46.3749848937,48.7585454623,49.9419120321,47.5329975874,47.0095936453,45.886385343,47.5915059274,54.0629095608,52.7395568322,50.4075304304,76.813628448,76.6590924068,76.38135006890001,76.1506862116,77.1322480499,77.181265625,77.24471089780001,77.3046986478,77.65334078559999,78.0375882046,78.065805571,78.1323727099,74.5496323016,74.03455909669999,73.63394412610001,73.6637524233,73.6293826811,73.5622218811,73.50745496410001,22.2736449052,22.1367671049,21.6102083202,21.2373914001,21.8967151806,22.3011802877,22.7885289086,22.2026820361,22.2630188611,23.0677324211,22.5077363116,22.726861853,22.5457427865,22.1725193058,21.9043069241,21.5308723175,21.4488997997,21.6583523483,21.8574929789
"Armenia",26.6875864708,26.858091456,26.693019774,27.1773265059,27.5875218921,27.6118615267,28.2663062445,29.1742985193,28.9004524437,29.8628934346,30.8397066064,30.9230497726,31.467782281,31.4438796323,31.563917987,31.5114192145,31.8878237028,31.9997957672,32.1581568581,45.9753054167,45.9055853008,45.4860987404,46.0234365398,45.7788696179,45.9575518298,45.9974663893,46.4097769806,46.1862597457,47.5928339024,47.4397317021,47.0572321172,47.5654626228,47.6591910983,47.7313926264,47.760656843,47.6978458761,47.9221328688,48.0997887542,54.9488406999,54.9427487868,55.1680890922,55.1113475132,55.4922961823,55.8561009102,56.9174561643,56.6003980985,56.6842428547,57.0026544236,57.2295120393,57.2666788299,57.1978732738,57.0876772583,57.1162184992,57.0647228083,57.0647486545,57.0705768657,57.0764313425,24.8407024394,24.9622114774,24.8961134768,25.6915883587,27.2242741688,27.530435404,28.1478189148,28.3882666806,28.1454741572,27.9504580456,28.6441043541,28.5742784013,28.736183905,28.739353038,28.7432990327,28.1985287738,28.1985287738,28.2650500853,28.3315713968,13.5047181731,13.458186713,13.2737861081,13.3432312056,13.4140703184,13.4993211551,13.609723291,13.6183402754,13.7037844828,13.7464603261,13.7930088969,13.6754291402,13.6881397813,13.4927887029,13.4554705635,13.450307522,14.615601515,14.6152255022,14.6148494895,4.6343993686,4.6632289195,4.7554945233,5.0266230178,5.203177911,5.3771930258,6.1664326405,6.77966414,6.5251843207,7.7240330511,9.8185438602,10.0807181143,10.7370246833,11.1842964054,12.1457780773,12.4246789742,12.5983677845,12.8476560153,13.1279449981,44.1605899095,46.0291764578,47.8977630062,51.0496829662,48.7953158908,48.3703359439,46.9334710997,47.6437049075,48.5900486593,49.5227879635,48.1937843278,48.7125997487,50.8675374454,51.2376048112,48.6988967222,49.0706288966,48.6962878142,47.9890856398,48.4739143347,72.9023803198,72.782543277,72.7423325008,72.6870932377,72.8899924964,72.9861384681,73.0547711981,76.7791984337,75.0937809353,77.8357645152,79.01765390190001,77.83397118870001,78.07084518169999,78.288706006,78.6187090207,78.45280264909999,78.61661253139999,78.5771481276,78.7132837747,20.350346584,20.4554246236,18.7581724916,18.3508062058,19.5421418953,18.6568304852,19.2182479128,20.8379060165,20.2427173916,20.3802831418,20.4015482072,20.7736101249,21.0702852735,20.1894575917,20.0936032389,19.6621849531,19.7589907932,20.0868267136,20.0868267136
"Aruba",31.0096898693,31.4651189241,31.4421026168,31.5130345015,32.0690772654,32.6554349417,32.954338573,33.7096797349,34.582625436,35.3459354499,35.8985524501,34.1332023817,34.6902333444,35.7698654508,35.5749150571,36.038552124,35.3126079911,35.3926140349,35.4485834657,41.6282487589,41.8639310565,41.8302646175,41.5513457645,41.9536056649,41.6720512471,42.3332999794,42.3786152075,42.8193297638,43.0778871833,41.5015943805,43.8002710783,43.7459193893,43.6540628437,43.6033245367,43.5400900309,43.1192054832,43.4574424054,43.5309432081,48.2356241428,48.2394543847,48.2464538792,48.2490043476,48.2388025339,48.238277325,48.23960734,48.235991815,48.239605944,48.2587323699,48.264699681,48.2537095892,48.2501226696,48.2459164471,48.2458979922,48.2458753605,48.2457427153,48.2458832605,48.24601567,26.4575595254,26.0676944195,25.9347715974,25.9453847431,25.7528197405,26.6778385784,26.6947968159,26.2458682473,25.4243486316,25.6763004021,25.2667859156,24.7453324793,25.1127306858,24.5025510705,23.7184057196,23.7082595655,23.7423504566,23.7518660105,23.7613815644,22.365608826,22.6839085542,22.3725064732,22.1759566421,22.1555241893,21.8104177671,21.685059159,25.2455405568,25.2571651032,25.3138807463,25.341536121,25.5495433415,25.5591200232,25.5884586547,25.9207534258,25.8989133447,25.7282173691,25.8588505852,25.8588505852,8.689172496299999,9.529142039,9.747283036700001,10.2205958223,12.1458928207,13.5563434176,14.2629531656,14.8968221207,18.7850929812,19.0368663827,16.8955681689,14.7945720467,14.6115621883,17.6841522952,18.1038593852,18.178504722,15.9277341858,16.1786873083,16.4313665011,77.5569572186,77.5569572186,77.5569572186,77.5569572186,77.5569572186,80.715132598,79.6988978169,79.54963430550001,79.9481922434,84.35372713229999,83.61608383630001,83.6370070279,83.89899329559999,84.03231895730001,80.04431410140001,82.6729266934,82.8628343985,82.4600105323,82.4600105323,76.8972048445,77.013067788,77.35532359600001,77.5760744844,77.59054096990001,77.9210192588,77.7335021184,77.4251473855,77.2745406219,78.21392050110001,79.434033224,79.3399320413,79.38185254,78.8804129344,79.1084898301,78.9216648463,78.9308028152,79.0487929471,79.1163267697,13.8861898206,14.1362146547,13.9490624814,13.7113777046,13.2544007572,12.9670246305,13.3155058478,13.4171278651,13.2900679904,14.3552435077,19.1632395275,14.0455785108,15.9076977958,17.3140243006,17.3026695242,18.5990276259,18.2647986303,18.1295837912,18.0246758239
